Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
100,23.1755065917969,-83.4380340576172,-0.837112426757813,-1.32888793945313
105.925407409668,22.7211761474609,-83.2168426513672,-0.817626953125,-1.57630920410156
112.201919555664,22.368896484375,-82.6363372802734,-0.811798095703125,-1.70219421386719
118.85033416748,21.8266906738281,-82.2831268310547,-0.825180053710938,-1.76951599121094
125.892700195313,21.2191467285156,-82.1694793701172,-0.823196411132813,-1.9373779296875
133.352355957031,20.6450042724609,-82.2026977539063,-0.817489624023438,-2.23637390136719
141.254028320313,20.2639617919922,-81.8119049072266,-0.740890502929688,-2.5205078125
149.623901367188,20.0925903320313,-80.6604919433594,-0.77044677734375,-2.73820495605469
158.489730834961,19.3768920898438,-81.0084533691406,-0.724578857421875,-3.03720092773438
167.880889892578,18.9608612060547,-80.2670745849609,-0.734130859375,-3.13511657714844
177.828506469727,18.4108428955078,-79.7792358398438,-0.726974487304688,-3.13511657714844
188.365570068359,18.0429229736328,-79.1926116943359,-0.68389892578125,-3.40701293945313
199.526992797852,17.6526031494141,-78.5491485595703,-0.6182861328125,-3.60023498535156
211.34977722168,17.2747344970703,-77.6136779785156,-0.657516479492188,-3.82752990722656
223.873107910156,16.8239898681641,-77.3120574951172,-0.586883544921875,-4.17112731933594
237.138488769531,16.3695220947266,-76.8749237060547,-0.599594116210938,-4.72015380859375
251.189910888672,15.8799285888672,-76.4071960449219,-0.582901000976563,-4.97718811035156
266.073913574219,15.4764862060547,-75.6535797119141,-0.615509033203125,-5.43881225585938
281.839874267578,14.9880981445313,-75.5862579345703,-0.604766845703125,-6.18717956542969
298.5400390625,14.5977783203125,-75.1849822998047,-0.592041015625,-6.8927001953125
316.229736328125,14.1923522949219,-74.4689483642578,-0.597076416015625,-7.36044311523438
334.967620849609,13.7842712402344,-73.7441864013672,-0.600265502929688,-7.83428955078125
354.815795898438,13.3914337158203,-73.3009338378906,-0.606491088867188,-8.66134643554688
375.840057373047,13.0351715087891,-73.1024780273438,-0.547515869140625,-9.61341857910156
398.110107421875,12.7162933349609,-72.4459075927734,-0.504043579101563,-10.3154449462891
421.699737548828,12.4139862060547,-72.0953216552734,-0.428237915039063,-11.2692718505859
446.687164306641,12.0782623291016,-71.7447509765625,-0.410736083984375,-12.3078918457031
473.155181884766,11.758056640625,-71.3924255371094,-0.382369995117188,-13.3543853759766
501.191528320313,11.3908081054688,-71.0514526367188,-0.405166625976563,-14.3711547851563
530.88916015625,11.0553588867188,-70.7848052978516,-0.411529541015625,-15.4989624023438
562.346496582031,10.7523803710938,-70.3704071044922,-0.420669555664063,-16.6162719726563
595.667785644531,10.4650421142578,-70.1632080078125,-0.41192626953125,-17.8708343505859
630.963500976563,10.1747894287109,-70.1177368164063,-0.420013427734375,-19.3369750976563
668.350646972656,9.88705444335938,-70.2322692871094,-0.42889404296875,-20.8241119384766
707.953125,9.60990905761719,-70.27685546875,-0.448638916015625,-22.3094787597656
749.902221679688,9.3603515625,-70.4525909423828,-0.453811645507813,-23.8866577148438
794.336975097656,9.07075500488281,-70.5102844238281,-0.519943237304688,-25.4122467041016
841.404663085938,8.79124450683594,-70.7953033447266,-0.585159301757813,-27.0663452148438
891.261291503906,8.57745361328125,-71.4326324462891,-0.602523803710938,-29.1217498779297
944.072143554688,8.38780212402344,-72.2876586914063,-0.599990844726563,-31.2803039550781
1000.01226806641,8.20358276367188,-73.4364471435547,-0.612060546875,-33.7186279296875
1059.26696777344,7.99391174316406,-74.6569213867188,-0.656723022460938,-36.1735687255859
1122.03283691406,7.7664794921875,-76.2445831298828,-0.736648559570313,-38.9904479980469
1188.51782226563,7.49569702148438,-77.9415283203125,-0.866653442382813,-41.8178100585938
1258.94226074219,7.1328125,-79.7477569580078,-1.09965515136719,-44.7072601318359
1333.53967285156,6.95654296875,-82.0348358154297,-1.16168212890625,-48.0565643310547
1412.55725097656,6.74806213378906,-84.6716156005859,-1.25260925292969,-51.6121978759766
1496.25695800781,6.46736145019531,-87.41943359375,-1.42808532714844,-55.2465057373047
1584.91625976563,6.16093444824219,-90.3578338623047,-1.64106750488281,-59.0189514160156
1678.82897949219,5.59394836425781,-94.0620880126953,-2.11395263671875,-63.4532318115234
1778.30639648438,4.86207580566406,-97.8214263916016,-2.76457214355469,-67.9102325439453
1883.67822265625,4.44406127929688,-101.223190307617,-3.1055908203125,-71.9126129150391
1995.29382324219,3.38137817382813,-105.260543823242,-4.08834838867188,-76.4640197753906
2113.52294921875,2.59835815429688,-108.727874755859,-4.80073547363281,-80.4052124023438
2238.7578125,1.36961364746094,-112.172470092773,-5.96200561523438,-84.2344818115234
2371.41333007813,0.410720825195313,-115.142349243164,-6.85173034667969,-87.5024871826172
2511.92919921875,-0.633392333984375,-117.853439331055,-7.83328247070313,-90.4321441650391
2660.77124023438,-1.609130859375,-120.33984375,-8.74433898925781,-93.1108856201172
2818.4326171875,-2.38101196289063,-122.738830566406,-9.45169067382813,-95.5990447998047
2985.43627929688,-3.14920043945313,-124.945465087891,-10.1541290283203,-97.8214263916016
3162.33544921875,-3.84461975097656,-127.119766235352,-10.782470703125,-99.9388885498047
3349.71655273438,-4.51974487304688,-129.376235961914,-11.3888244628906,-102.074722290039
3548.20092773438,-5.07574462890625,-131.227066040039,-11.8727264404297,-103.722702026367
3758.4462890625,-5.68806457519531,-133.885696411133,-12.4105529785156,-106.116439819336
3981.1494140625,-6.21369934082031,-136.134307861328,-12.8560028076172,-108.033706665039
4217.04833984375,-6.71255493164063,-138.488693237305,-13.2711029052734,-109.974578857422
4466.92529296875,-7.18836975097656,-141.313446044922,-13.6563873291016,-112.335952758789
4731.60888671875,-7.64018249511719,-143.946731567383,-14.0114593505859,-114.445556640625
5011.97607421875,-8.09451293945313,-146.94807434082,-14.3630676269531,-116.858520507813
5308.9560546875,-8.56303405761719,-150.00276184082,-14.7193298339844,-119.26887512207
5623.533203125,-9.08111572265625,-153.678161621094,-15.1172027587891,-122.245742797852
5956.75048828125,-9.56208801269531,-157.439239501953,-15.4686889648438,-125.262832641602
6309.7119140625,-10.0649261474609,-161.494964599609,-15.8317108154297,-128.539566040039
6683.587890625,-10.6899719238281,-165.624984741211,-16.3053894042969,-131.830307006836
7079.61767578125,-11.3301239013672,-169.493606567383,-16.7843780517578,-134.833404541016
7499.11376953125,-12.0206298828125,-173.157638549805,-17.3009948730469,-137.607437133789
7943.466796875,-12.7122039794922,-176.902114868164,-17.8059539794922,-140.435684204102
8414.1494140625,-13.4468536376953,179.471557617188,-18.3420715332031,-143.134536743164
8912.7216796875,-14.3712921142578,175.731460571289,-19.0536499023438,-145.939178466797
9440.8369140625,-14.9659729003906,171.844482421875,-19.4214477539063,-148.884567260742
10000.2451171875,-15.6587371826172,167.839477539063,-19.8757781982422,-151.963729858398
10592.7998046875,-16.6165771484375,163.816116333008,-20.5804748535156,-155.070861816406
11220.4658203125,-17.4182891845703,159.637130737305,-21.1151275634766,-158.345855712891
11885.32421875,-18.1631469726563,155.291168212891,-21.5793914794922,-161.83154296875
12589.578125,-18.9791717529297,150.800064086914,-22.1019897460938,-165.503463745117
13335.5615234375,-20.0406494140625,145.9951171875,-22.8582305908203,-169.518081665039
14125.7470703125,-20.8817291259766,140.765258789063,-23.3820190429688,-174.016174316406
14962.7548828125,-21.5762176513672,136.075714111328,-23.7434387207031,-178.036041259766
15849.3583984375,-22.3120574951172,130.614181518555,-24.1419830322266,177.12678527832
16788.49609375,-23.1294097900391,125.598526000977,-24.6046600341797,172.642684936523
17783.283203125,-24.1185150146484,119.681518554688,-25.2326202392578,167.165420532227
18837.015625,-24.9234161376953,113.641220092773,-25.6694641113281,161.496688842773
19953.185546875,-25.8625640869141,107.61491394043,-26.2294158935547,155.751907348633
21135.4921875,-26.5783843994141,101.20393371582,-26.5558624267578,149.448455810547
22387.85546875,-27.5841979980469,95.3245086669922,-27.1720123291016,143.730773925781
23714.42578125,-28.6462097167969,88.2735748291016,-27.8385467529297,136.616882324219
25119.6015625,-29.8357238769531,81.4796600341797,-28.6210327148438,129.705825805664
26608.0390625,-31.1905059814453,73.2414703369141,-29.572509765625,121.207107543945
28184.673828125,-32.2526550292969,66.2901916503906,-30.2225952148438,113.92448425293
29854.73046875,-33.3637084960938,57.1016845703125,-30.9206695556641,104.192169189453
